sr_no,date,startup_name,subvertical,city,investors,investment_type,amount_usd,remarks,year,industry
2848,NaT,findyahan,,delhi,the phoenix fund,private equity,,series a,,ecommerce
2849,NaT,eat.shop.love,,bangalore,undisclosed investor,private equity,3500000.0,series a,,ecommerce
2850,NaT,avanti learning,,delhi,"michael & susan dell foundation, pearson learning fund",private equity,1500000.0,series a,,edtech
2851,NaT,simplilearn,,bangalore,"mayfield ventures, kalaari capital, helion ventures",private equity,15000000.0,series c,,other
2852,NaT,craftstvilla,,mumbai,"sequoia capital, nexus venture partners, lightspeed ventures, gfc",private equity,18000000.0,series b,,ecommerce
2853,NaT,headout,,bangalore,"version one ventures, 500 startups, nexus venture partners and arena ventures",seed funding,1800000.0,,,ecommerce
2854,NaT,happay,,bangalore,angelprime,seed funding,500000.0,,,other
2855,NaT,jugnoo,,chandigarh,"rakesh mathur, vikas taneja & others",seed funding,1000000.0,,,logistics
2856,NaT,eazydiner,,delhi,"deepak shahdadpuri, gulpreet kohli",seed funding,,,,food
2857,NaT,phone warrior,,delhi,lightspeed ventures,seed funding,,pre-series a,,other
2858,NaT,coverfox,,mumbai,"accel us, accel india, saif partners.",private equity,12000000.0,series b,,fintech
2859,NaT,torqus,,pune,s s mukherji & others,seed funding,350000.0,,,food
2860,NaT,grab,,mumbai,"oliphans capital, haresh chawla",seed funding,1000000.0,,,food
2861,NaT,logicroots,,jaipur,"ah ventures, calcutta angels, xc2 xa0 91springboard",seed funding,400000.0,,,edtech
2862,NaT,gibbs,,delhi,infuse ventures fund,private equity,,series b,,technology
2863,NaT,babajobs,,bangalore,seek ltd & affiliates,private equity,10000000.0,series b,,other
2864,NaT,urban ladder,,bangalore,"anand rajaraman, venky harinarayan",private equity,,series d,,ecommerce
2865,NaT,jay robotix,,hyderabad,cross border angels & others,seed funding,250000.0,,,edtech
2866,NaT,naaptol.com,,mumbai,mitsui & co & existing investors,private equity,21500000.0,series c,,ecommerce
2867,NaT,reglobe,,gurgaon,"bessemer ventures, blume ventures",seed funding,1000000.0,,,other
2868,NaT,icertis,,pune,"greycroft partners, fidelity growth partners",private equity,6000000.0,series a,,technology
2869,NaT,tracxn,,bangalore,saif partners,private equity,3500000.0,series a,,other
2870,NaT,dazo,,bangalore,"sumit jain, aprameya radhakrishna, alok goel, rajan anandan, amit agrawal, vinay goel, gaurav munjal, ashish dev kapur",seed funding,,,,food
2871,NaT,tradelab,,bangalore,rainmatter,seed funding,400000.0,,,fintech
2872,NaT,piqube,,chennai,the hr fund,seed funding,500000.0,,,other
2873,NaT,travel triangle,,noida,"bessemer venture partners, saif partners",private equity,8000000.0,series b,,ecommerce
2874,2015-02-03,trulymadly.com,,,"helion venture partners, kae capital",private equity,5500000.0,series a,2015.0,other
2875,2015-02-03,instalively,,,group of angel investors,seed funding,120000.0,,2015.0,other
2876,2015-03-03,vserv,,,"maverick capital, idg ventures india",private equity,15000000.0,,2015.0,other
2877,2015-03-03,intruo.com,,,"ashutosh lawania, alok goel & others",seed funding,,,2015.0,other
2878,2015-05-03,niffler,,,saif partners,seed funding,1000000.0,,2015.0,other
2879,2015-05-03,customfurnish.com,,,"madhukar gangadi, satish reddy, srini raju, srini koppolu & sidbi",private equity,2500000.0,,2015.0,other
2880,2015-06-03,mapmygenome,,,rajan anandan & other angel investors,private equity,1200000.0,,2015.0,other
2881,2015-09-03,crowdfire (formerly justunfollow),,,kalaari capital,private equity,2500000.0,,2015.0,other
2882,2015-09-03,bite club,,,"powai lake ventures, aneesh reddy, ashish kashyap, alok mittal",seed funding,500000.0,,2015.0,other
2883,2015-10-03,localbanya,,,shrem strategies,private equity,,series b,2015.0,other
2884,2015-11-03,appedo,,,undisclosed investors,seed funding,1000000.0,,2015.0,other
2885,2015-11-03,fitraq.com,,,tarun arora,seed funding,150000.0,,2015.0,other
2886,2015-11-03,chargebee,,,"tiger global, accel partners",private equity,5000000.0,series b,2015.0,other
2887,2015-11-03,groupon india,,,sequoia capital,private equity,20000000.0,,2015.0,other
2888,2015-12-03,process 9,,,"ian ventures, alok sharma, kris gopalakrishnan, saurabh srivastava, ajai chowdhry",seed funding,,,2015.0,other
2889,2015-12-03,moonfrog labs,,,"tiger global, sequoia capital.",private equity,15000000.0,series a,2015.0,other
2890,NaT,foodpanda,,,rocket internet ag & others,private equity,110000000.0,series c,,other
2891,NaT,paytm,,,ratan tata,private equity,,more details,,other
2892,NaT,diabetomics,,,"ventureeast, xc2 xa0 varaprasad reddy",private equity,5000000.0,series c,,other
2893,NaT,qyk,,,"powai lake ventures, zishan hayath, abhishek goyal, sahil barua",seed funding,,,,other
2894,NaT,daily rounds,,,"kae capital, gsf, teruhide sato",seed funding,500000.0,,,other
2895,NaT,orobind,,,"zishaan hayath, lalit mangal, harpreet singh grover",seed funding,200000.0,,,other
2896,NaT,routofy,,,"kunal bahl, rohit bansal",seed funding,,,,other
2897,NaT,digital gorkha,,,ramesh kavediya,seed funding,166000.0,,,other
2898,NaT,nestaway,,,"idg ventures, naveen tewari",seed funding,1300000.0,,,other
2899,NaT,the better india,,,i-cube-n,seed funding,166000.0,,,other
2900,NaT,meru cabs,,,value fund advisors,private equity,50000000.0,,,other
2901,NaT,golflan,,,yournest angel fund,seed funding,,,,other
2902,NaT,drivestream,,,wipro,private equity,5000000.0,,,other
2903,NaT,wwhere,,,group of angel investors,seed funding,200000.0,,,other
2904,NaT,gojavas,,,snapdeal,private equity,,"minority stake, strategic",,other
2905,NaT,tripoto,,,"idg ventures, outbox ventures",private equity,2000000.0,pre-series a,,other
2906,NaT,graphic india,,,"ca media lp, xc2 xa0 start media.",seed funding,2800000.0,,,other
2907,NaT,harness handitouch,,,armat group,private equity,,series a,,other
2908,NaT,lets corp,,,wu chay chin,seed funding,3000000.0,,,other
2909,NaT,collatebox,,,letsventure,seed funding,180000.0,,,other
2910,NaT,mahindra first choice,,,valiant capital,private equity,15000000.0,series b,,other
